     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
       112: 2022-10-18  0:56:59.9910000    2.4197  -2727700.2307      0.0000      0.0000      0.0000   
       113: 2022-10-18  0:57:29.9910000    2.4197  -2723879.3077      0.0000      0.0000      0.0000   
       114: 2022-10-18  0:57:59.9910000    2.4198  -2720060.8510      0.0000      0.0000      0.0000   
       115: 2022-10-18  0:58:29.9910000    2.4193  -2716237.9507      0.0000      0.0000      0.0000   
       116: 2022-10-18  0:58:59.9910000    2.4191  -2712417.1094      0.0000      0.0000      0.0000   
       117: 2022-10-18  0:59:29.9910000    2.4189  -2708599.2918      0.0000      0.0000      0.0000   
       118: 2022-10-18  0:59:59.9910000    2.4189  -2704777.0827      0.0000      0.0000      0.0000   
       119: 2022-10-18  1: 0:29.9910000    2.4188  -2700959.7843      0.0000      0.0000      0.0000   
       120: 2022-10-18  1: 0:59.9910000    2.4190  -2697135.5642      0.0000      0.0000      0.0000   
       121: 2022-10-18  1: 1:29.9910000    2.4190  -2693308.9645      0.0000      0.0000      0.0000   
       122: 2022-10-18  1: 1:59.9910000    2.4192  -2689473.1668      0.0000      0.0000      0.0000   
       123: 2022-10-18  1: 2:29.9910000    2.4194  -2685642.9065      0.0000      0.0000      0.0000   
       124: 2022-10-18  1: 2:59.9910000    2.4192  -2681812.5136      0.0000      0.0000      0.0000   
       125: 2022-10-18  1: 3:29.9910000    2.4191  -2677983.8102      0.0000      0.0000      0.0000   
       126: 2022-10-18  1: 3:59.9910000    2.4188  -2674150.4881      0.0000      0.0000      0.0000   
       127: 2022-10-18  1: 4:29.9910000    2.4188  -2670303.9460      0.0000      0.0000      0.0000   
       128: 2022-10-18  1: 4:59.9910000    2.4189  -2666453.1267      0.0000      0.0000      0.0000   
       129: 2022-10-18  1: 5:29.9910000    2.4189  -2662611.0918      0.0000      0.0000      0.0000   
       130: 2022-10-18  1: 5:59.9910000    2.4188  -2658768.7824      0.0000      0.0000      0.0000   
       131: 2022-10-18  1: 6:29.9910000    2.4189  -2654922.7696      0.0000      0.0000      0.0000   
       132: 2022-10-18  1: 6:59.9910000    2.4190  -2651079.9947      0.0000      0.0000      0.0000   
       133: 2022-10-18  1: 7:29.9910000    2.4188  -2647234.0969      0.0000      0.0000      0.0000   
       134: 2022-10-18  1: 7:59.9910000    2.4187  -2643384.6458      0.0000      0.0000      0.0000   
       135: 2022-10-18  1: 8:29.9910000    2.4189  -2639532.8121      0.0000      0.0000      0.0000   
       136: 2022-10-18  1: 8:59.9910000    2.4190  -2635683.8552      0.0000      0.0000      0.0000   
       137: 2022-10-18  1: 9:29.9910000    2.4194  -2631828.4478      0.0000      0.0000      0.0000   
       138: 2022-10-18  1: 9:59.9910000    2.4193  -2627967.7515      0.0000      0.0000      0.0000   
       139: 2022-10-18  1:10:29.9910000    2.4194  -2624105.4905      0.0000      0.0000      0.0000   
       140: 2022-10-18  1:10:59.9910000    2.4194  -2620232.3725      0.0000      0.0000      0.0000   
       141: 2022-10-18  1:11:29.9910000    2.4194  -2616364.8931      0.0000      0.0000      0.0000   
       142: 2022-10-18  1:11:59.9910000    2.4192  -2612500.9850      0.0000      0.0000      0.0000   
       143: 2022-10-18  1:12:29.9910000    2.4191  -2608637.7370      0.0000      0.0000      0.0000   
       144: 2022-10-18  1:12:59.9910000    2.4190  -2604774.2663      0.0000      0.0000      0.0000   
       145: 2022-10-18  1:13:29.9910000    2.4190  -2600902.3178      0.0000      0.0000      0.0000   
       146: 2022-10-18  1:13:59.9910000    2.4191  -2597033.1441      0.0000      0.0000      0.0000   
       147: 2022-10-18  1:14:29.9910000    2.4192  -2593164.8679      0.0000      0.0000      0.0000   
       148: 2022-10-18  1:14:59.9910000    2.4193  -2589292.2417      0.0000      0.0000      0.0000   
       149: 2022-10-18  1:15:29.9910000    2.4193  -2585417.3219      0.0000      0.0000      0.0000   
