     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
       187: 2022-10-19  1:34:29.9930000    2.3962  -2125991.6375      0.0000      0.0000      0.0000   
       188: 2022-10-19  1:34:59.9930000    2.3964  -2122104.6192      0.0000      0.0000      0.0000   
       189: 2022-10-19  1:35:29.9930000    2.3965  -2118220.2486      0.0000      0.0000      0.0000   
       190: 2022-10-19  1:35:59.9930000    2.3965  -2114328.8109      0.0000      0.0000      0.0000   
       191: 2022-10-19  1:36:29.9930000    2.3966  -2110435.8571      0.0000      0.0000      0.0000   
       192: 2022-10-19  1:36:59.9930000    2.3965  -2106534.3926      0.0000      0.0000      0.0000   
       193: 2022-10-19  1:37:29.9930000    2.3965  -2102623.7767      0.0000      0.0000      0.0000   
       194: 2022-10-19  1:37:59.9930000    2.3966  -2098716.9050      0.0000      0.0000      0.0000   
       195: 2022-10-19  1:38:29.9930000    2.3968  -2094808.4485      0.0000      0.0000      0.0000   
       196: 2022-10-19  1:38:59.9930000    2.3969  -2090897.4786      0.0000      0.0000      0.0000   
       197: 2022-10-19  1:39:29.9930000    2.3971  -2086973.2678      0.0000      0.0000      0.0000   
       198: 2022-10-19  1:39:59.9930000    2.3971  -2083047.8049      0.0000      0.0000      0.0000   
       199: 2022-10-19  1:40:29.9930000    2.3971  -2079122.0184      0.0000      0.0000      0.0000   
       200: 2022-10-19  1:40:59.9930000    2.3969  -2075191.7696      0.0000      0.0000      0.0000   
       201: 2022-10-19  1:41:29.9930000    2.3969  -2071257.1132      0.0000      0.0000      0.0000   
       202: 2022-10-19  1:41:59.9930000    2.3967  -2067318.3015      0.0000      0.0000      0.0000   
       203: 2022-10-19  1:42:29.9930000    2.3963  -2063374.1159      0.0000      0.0000      0.0000   
       204: 2022-10-19  1:42:59.9930000    2.3962  -2059422.7458      0.0000      0.0000      0.0000   
       205: 2022-10-19  1:43:29.9930000    2.3960  -2055453.7851      0.0000      0.0000      0.0000   
       206: 2022-10-19  1:43:59.9930000    2.3958  -2051480.9672      0.0000      0.0000      0.0000   
       207: 2022-10-19  1:44:29.9930000    2.3956  -2047508.6955      0.0000      0.0000      0.0000   
       208: 2022-10-19  1:44:59.9930000    2.3955  -2043532.7366      0.0000      0.0000      0.0000   
       209: 2022-10-19  1:45:29.9930000    2.3955  -2039552.9379      0.0000      0.0000      0.0000   
       210: 2022-10-19  1:45:59.9930000    2.3955  -2035568.9947      0.0000      0.0000      0.0000   
       211: 2022-10-19  1:46:29.9930000    2.3955  -2031579.5485      0.0000      0.0000      0.0000   
       212: 2022-10-19  1:46:59.9930000    2.3956  -2027577.0327      0.0000      0.0000      0.0000   
       213: 2022-10-19  1:47:29.9930000    2.3957  -2023570.9930      0.0000      0.0000      0.0000   
       214: 2022-10-19  1:47:59.9930000    2.3955  -2019561.1161      0.0000      0.0000      0.0000   
       215: 2022-10-19  1:48:29.9930000    2.3954  -2015535.8532      0.0000      0.0000      0.0000   
       216: 2022-10-19  1:48:59.9930000    2.3953  -2011514.3081      0.0000      0.0000      0.0000   
       217: 2022-10-19  1:49:29.9930000    2.3953  -2007492.7466      0.0000      0.0000      0.0000   
       218: 2022-10-19  1:49:59.9930000    2.3952  -2003466.1173      0.0000      0.0000      0.0000   
       219: 2022-10-19  1:50:29.9930000    2.3951  -1999427.0985      0.0000      0.0000      0.0000   
       220: 2022-10-19  1:50:59.9930000    2.3949  -1995373.8454      0.0000      0.0000      0.0000   
       221: 2022-10-19  1:51:29.9930000    2.3950  -1991320.1622      0.0000      0.0000      0.0000   
       222: 2022-10-19  1:51:59.9930000    2.3951  -1987263.3631      0.0000      0.0000      0.0000   
       223: 2022-10-19  1:52:29.9930000    2.3950  -1983207.6130      0.0000      0.0000      0.0000   
       224: 2022-10-19  1:52:59.9930000    2.3951  -1979148.4295      0.0000      0.0000      0.0000   
       225: 2022-10-19  1:53:29.9930000    2.3951  -1975079.0948      0.0000      0.0000      0.0000   
       226: 2022-10-19  1:53:59.9930000    2.3952  -1970998.9754      0.0000      0.0000      0.0000   
       227: 2022-10-19  1:54:29.9930000    2.3952  -1966913.1736      0.0000      0.0000      0.0000   
       228: 2022-10-19  1:54:59.9930000    2.3953  -1962821.5094      0.0000      0.0000      0.0000   
       229: 2022-10-19  1:55:29.9930000    2.3952  -1958715.6885      0.0000      0.0000      0.0000   
       230: 2022-10-19  1:55:59.9930000    2.3953  -1954605.3062      0.0000      0.0000      0.0000   
       231: 2022-10-19  1:56:29.9930000    2.3953  -1950496.6157      0.0000      0.0000      0.0000   
       232: 2022-10-19  1:56:59.9940000    2.3953  -1946376.1786      0.0000      0.0000      0.0000   
       233: 2022-10-19  1:57:29.9940000    2.3954  -1942252.7248      0.0000      0.0000      0.0000   
       234: 2022-10-19  1:57:59.9940000    2.3954  -1938120.9460      0.0000      0.0000      0.0000   
       235: 2022-10-19  1:58:29.9940000    2.3955  -1933983.8018      0.0000      0.0000      0.0000   
       236: 2022-10-19  1:58:59.9940000    2.3957  -1929837.9387      0.0000      0.0000      0.0000   
       237: 2022-10-19  1:59:29.9940000    2.3959  -1925685.0577      0.0000      0.0000      0.0000   
       238: 2022-10-19  1:59:59.9940000    2.3960  -1921525.0899      0.0000      0.0000      0.0000   
       239: 2022-10-19  2: 0:29.9940000    2.3961  -1917359.5418      0.0000      0.0000      0.0000   
       240: 2022-10-19  2: 0:59.9940000    2.3962  -1913188.1616      0.0000      0.0000      0.0000   
       241: 2022-10-19  2: 1:29.9940000    2.3962  -1909015.5613      0.0000      0.0000      0.0000   
       242: 2022-10-19  2: 1:59.9940000    2.3961  -1904838.9276      0.0000      0.0000      0.0000   
