     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
        59: 2022-10-21  0:30:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9956     5628262.5424     2830348.2408       0.02393881       0.00802893       0.00805046 
        60: 2022-10-21  0:30:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9897     5628262.5436     2830348.2388       0.02324828       0.00785603       0.00783490 
        61: 2022-10-21  0:31:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9948     5628262.5420     2830348.2393       0.02258852       0.00769021       0.00762837 
        62: 2022-10-21  0:31:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9942     5628262.5414     2830348.2383       0.02195780       0.00753109       0.00743037 
        63: 2022-10-21  0:32:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9988     5628262.5380     2830348.2382       0.02135451       0.00737829       0.00724044 
        64: 2022-10-21  0:32:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0053     5628262.5351     2830348.2376       0.02077713       0.00723148       0.00705815 
        65: 2022-10-21  0:33:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0119     5628262.5358     2830348.2370       0.02022425       0.00709032       0.00688309 
        66: 2022-10-21  0:33:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0121     5628262.5361     2830348.2381       0.01969455       0.00695452       0.00671491 
        67: 2022-10-21  0:34:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0101     5628262.5369     2830348.2384       0.01918680       0.00682381       0.00655323 
        68: 2022-10-21  0:34:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0081     5628262.5379     2830348.2388       0.01869984       0.00669792       0.00639774 
        69: 2022-10-21  0:35:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9991     5628262.5373     2830348.2377       0.01823259       0.00657659       0.00624812 
        70: 2022-10-21  0:35:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9972     5628262.5375     2830348.2372       0.01778403       0.00645962       0.00610409 
        71: 2022-10-21  0:36:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9944     5628262.5357     2830348.2359       0.01735321       0.00634677       0.00596538 
        72: 2022-10-21  0:36:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9927     5628262.5342     2830348.2345       0.01693921       0.00623786       0.00583172 
        73: 2022-10-21  0:37:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9974     5628262.5346     2830348.2345       0.01654121       0.00613267       0.00570288 
        74: 2022-10-21  0:37:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9946     5628262.5343     2830348.2347       0.01615840       0.00603105       0.00557863 
        75: 2022-10-21  0:38:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9883     5628262.5346     2830348.2340       0.01579004       0.00593282       0.00545875 
        76: 2022-10-21  0:38:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9872     5628262.5329     2830348.2331       0.01543543       0.00583783       0.00534305 
        77: 2022-10-21  0:39:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9856     5628262.5327     2830348.2324       0.01509389       0.00574592       0.00523134 
        78: 2022-10-21  0:39:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9821     5628262.5339     2830348.2323       0.01476480       0.00565695       0.00512343 
        79: 2022-10-21  0:40:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9837     5628262.5345     2830348.2329       0.01444757       0.00557079       0.00501915 
